objid,ra,dec
587729778512756840,202.51750289,-1.71768749
587729778512822322,202.54787562,-1.66313135
587730845814030428,313.8650896,-1.22524403
587731172235018468,320.01281534,-0.97633935
587731501336625167,167.16825112,57.230174
587732577238974492,166.80712767,6.41180244
587732771586048028,167.72717714,9.6218294
587733080271749233,167.7369653,53.38776991
587734894358364228,167.48308989,10.72083629
587734894358364232,167.48578962,10.72444707
587736543086182714,201.75492941,10.05592569
587742061602472014,166.85284854,21.65708182
587742549599977500,202.66059373,18.13460814
587742551210524731,202.74233816,19.43238095
587742567326744709,166.79306257,18.57068959
587742567326744781,166.91053886,18.45347983
587742573757726729,166.66858027,20.08554136
587742775626760272,166.38552476,17.63958856
587742775626825775,166.60503483,17.50799701
587742903405379703,202.3185731,17.05185047
587742903405445126,202.33651619,17.04768876
587748929771929742,167.23239743,0.44480263
588007003643314262,201.1444712,63.09229992
588009370687307931,166.47377661,60.37465711
588009371761377447,167.30162687,61.39629691
588011096724799553,166.69985325,60.26301164
588011097798869107,167.73522911,61.3470283
588011124654080064,202.74832746,62.02432355
588011125190885402,202.51487153,62.51156076
588013382739361909,167.40211729,50.9267406
588015507683672223,56.95457537,-1.04890629
588017114512883832,201.8523712,45.43863766
588017115586625604,202.20734339,46.26239087
588017116123431006,202.04187022,46.67211536
588017564945350842,167.34713524,10.83408931
588017566555766856,166.76395742,12.06003551
588017566556160002,167.68837615,12.0161457
588017603615916091,201.65243626,42.76428168
588017603615981703,201.76099067,42.78033534
588017604152655909,201.30798257,43.26726778
588017604678516792,166.51899738,43.33109184
588017626686488621,166.70497584,43.72325807
588017702924779535,166.63376031,11.38541989
588017719565549614,167.60479568,40.05297315
588297864190492846,167.49323001,46.09488651
588298662505218181,202.20365588,45.72987246
588298663578828884,202.10533696,46.59164794
588298664115699796,202.13829328,46.92718881
588848899907125337,167.3554758,-0.09770819
587722984441380938,218.69059439,0.88867203
587724241232003275,54.08887627,-6.71476272
587724242842026028,52.55527343,-5.54331829
587724242842026102,52.53969197,-5.52164782
587724242842943675,54.66318098,-5.34734837
587725502871240805,252.08440573,62.97643476
587725503408111766,253.01514116,63.11579187
587726016159350922,218.18810271,2.91501587
587726101485650110,218.66317058,4.26404927
587728879271346228,165.15468544,4.06531389
587729386074800140,165.348368,57.67764021
587731890037457143,164.69670027,55.23465374
587732771047800925,164.65651872,9.05045126
587733397025652815,218.68741532,48.67023234
587733397025718326,219.04662384,48.58504834
587733397025783956,219.25644224,48.54484259
587733410447491082,218.19520285,49.45791313
587733410447556753,218.49968576,49.45100194
587735489209761897,218.83599429,43.97181914
587735489209958586,219.30655344,43.69592353
587735695379005514,219.37818754,51.56185876
587735695379005613,219.19082914,51.45971358
587735695915417618,218.13974335,52.41286197
587736478128341050,218.28837929,10.51080967
587736524837683304,217.98908932,6.25040707
587736524837683423,217.93401777,6.1581521
587736543093194804,217.9686733,8.93301454
587736583892238376,218.1659933,36.30223059
587736584429305974,218.95898681,36.54323092
587736584429306061,219.01077315,36.50319648
587736584966111370,218.89127653,36.81853835
587736809380118565,218.91629321,13.16993875
587736914604195937,218.22304013,11.59505322
587736916215005274,218.88865525,12.90824368
587736943056519174,218.00384481,36.3052128
587738411405541389,165.00447018,14.83818781
587739099130363916,165.75937145,36.99668899
587739407311765519,164.94282518,33.39183261
587739407311765525,164.94484992,33.39469595
587739457760919625,218.11426613,27.4274341
587739609714130957,219.03758121,28.44872311
587739610250739748,218.49158519,28.86041283
587739706874527886,219.27152676,24.97810799
587739721910386736,217.89641608,26.94495723
587739827666092187,218.11027161,23.27895473
587741490370773099,165.45141548,28.69005774
587741490907512906,165.08578168,28.97640675
587741490907578391,165.10731942,28.97701535
587741490907971707,166.24290782,29.1379284
587741532246638641,165.79383622,27.98083674
587741532246704196,166.01225362,28.03679623
587741533320511505,165.93068249,28.88716627
587741829120327774,165.15832507,23.67613406
587742062675689636,165.46263173,22.34453547
587742566789349522,165.69694543,17.98934069
587742566789414994,165.86104832,18.12990009
